Ref,Label,Description,Translate,MaxChars,English,German,Spanish,French,Italian,Netherland,Danish,Swedish,Chinese,Polish,Japanese,Korean,Portuguese,Slovak,Russian,Hungarian,Bulgarian,Romanian,Czech,Turkish,Finnish,Greek,T-Chinese,Serbian,Slovenian,Thai,Polish UTF8
0,STI_ENGLISH= STD_LANGS_START,English Language - DO NOT TRANSLATE,0,7,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,English,??????,English
1,STI_GERMAN,German Language - DO NOT TRANSLATE,0,7,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,Deutsch,??????,Deutsch
2,STI_SPANISH,Spanish Language - DO NOT TRANSLATE,0,7,Espa�ol,Espa�ol,Espa�ol,Espa�ol,Espa�ol,Espa�ol,Espa�ol,Espa�ol,Español,Espa�ol,Español,Español,Espa�ol,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español,Español,??????,Español
3,STI_FRENCH,French Language - DO NOT TRANSLATE,0,8,Fran�ais,Fran�ais,Fran�ais,Fran�ais,Fran�ais,Fran�ais,Fran�ais,Fran�ais,Français,Fran�ais,Français,Français,Fran�ais,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,Français,??????,Français
4,STI_ITALIAN,Italian Language -DO NOT TRANSLATE,0,8,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,Italiano,??????,Italiano
5,STI_DUTCH,Netherland (Dutch) Language -DO NOT TRANSLATE,0,10,Nederlands,Nederlands,Nederlands,Nederlands,Nederlands,Nederlands,Nederlands,Nederlands,Nederlands,Nederlands,Nederlands,Nederlands,Nederlands,Nederlands,Nederlands,Nederlands,Nederlands,Nederlands,Nederlands,Nederlands,Nederlands,Nederlands,Nederlands,Nederlands,Nederlands,??????,Nederlands
6,STI_DANISH,Danish Language - DO NOT TRANSLATE.,0,5,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk,Dansk,??????,Dansk
7,STI_SWEDISH,Swedish Language - DO NOT TRANSLATE,0,7,Svenska,Svenska,Svenska,Svenska,Svenska,Svenska,Svenska,Svenska,Svenska,Svenska,Svenska,Svenska,Svenska,Svenska,Svenska,Svenska,Svenska,Svenska,Svenska,Svenska,Svenska,Svenska,Svenska,Svenska,Svenska,??????,Svenska
8,STI_CHINESE,Chinese Language.,0,9,Chinese,Chinese,Chinese,Zhong Wen,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Chinese,Çince,Chinese,Κινέζικα,Chinese,Chinese,Chinese,??????,Chinese
9,STI_ABORT,Abort menu item,1,9,ABORT,ANNUL,CANCELAR,ANNULER,ANNUL,AFBREKEN,ANNULER,ANNULERA,中止,PRZERWAC,中止,취소,ABORTA,ZRUŠIŤ,ОТМЕНА,STOP,,ANULARE,ZRUŠIT,DURDUR,POISTU,ΑΚΥΡΩΣΗ,,ODUSTANI,PREKINI,??????,PRZERWAC
